symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2018-02-07 00:00:00+00:00,159.54,163.4,159.07,163.09,50852130,37.924886255,38.8424621667,37.8131606906,38.768770837,203408520,0.0,1.0
AAPL,2018-02-08 00:00:00+00:00,155.15,161.0,155.03,160.29,49594129,36.881321941,38.2719486465,36.852796265,38.1031717301,198376516,0.0,1.0
AAPL,2018-02-09 00:00:00+00:00,156.41,157.89,150.24,157.07,66723743,37.3306013381,37.6838350827,35.8579984978,37.4881244945,266894972,0.63,1.0
AAPL,2018-02-12 00:00:00+00:00,162.71,163.89,157.51,158.5,60560145,38.8342314669,39.1158637767,37.593139932,37.8294246666,242240580,0.0,1.0
AAPL,2018-02-13 00:00:00+00:00,164.34,164.75,161.65,161.95,32104756,39.2232659287,39.3211212228,38.5812397309,38.6528411656,128419024,0.0,1.0
AAPL,2018-02-14 00:00:00+00:00,167.37,167.54,162.88,163.04,39669178,39.9464404192,39.9870145655,38.8748056132,38.912993045,158676712,0.0,1.0
AAPL,2018-02-15 00:00:00+00:00,172.99,173.09,169.0,169.79,50609595,41.2877739626,41.3116411075,40.3354748811,40.5240253258,202438380,0.0,1.0
AAPL,2018-02-16 00:00:00+00:00,172.43,174.82,171.77,172.36,39638793,41.1541179511,41.7245427142,40.9965947948,41.1374109497,158555172,0.0,1.0
AAPL,2018-02-20 00:00:00+00:00,171.85,174.26,171.42,172.05,33531012,41.0156885107,41.5908867028,40.9130597876,41.0634228005,134124048,0.0,1.0
AAPL,2018-02-21 00:00:00+00:00,171.07,174.12,171.01,172.83,35833514,40.8295247805,41.5574726999,40.8152044936,41.2495865307,143334056,0.0,1.0
AAPL,2018-02-22 00:00:00+00:00,172.5,173.95,171.71,171.8,30504116,41.1708249526,41.5168985536,40.9822745079,41.0037549383,122016464,0.0,1.0
AAPL,2018-02-23 00:00:00+00:00,175.5,175.65,173.54,173.67,33329232,41.8868392996,41.9226400169,41.4190432595,41.4500705479,133316928,0.0,1.0
AAPL,2018-02-26 00:00:00+00:00,178.97,179.39,176.21,176.35,36886432,42.7150292276,42.8152712362,42.0562960284,42.0897100312,147545728,0.0,1.0
AAPL,2018-02-27 00:00:00+00:00,178.39,180.48,178.16,179.1,38685165,42.5765997872,43.0754231156,42.5217053539,42.746056516,154740660,0.0,1.0
AAPL,2018-02-28 00:00:00+00:00,178.12,180.62,178.05,179.26,33604574,42.5121584959,43.1088371184,42.4954514945,42.7842439478,134418296,0.0,1.0
AAPL,2018-03-01 00:00:00+00:00,175.0,179.78,172.66,178.54,48801970,41.7675035751,42.9083531013,41.2090123844,42.6124005045,195207880,0.0,1.0
AAPL,2018-03-02 00:00:00+00:00,176.21,176.3,172.45,172.8,38453950,42.0562960284,42.0777764588,41.1588913801,41.2424263873,153815800,0.0,1.0
AAPL,2018-03-05 00:00:00+00:00,176.82,177.74,174.52,175.21,28401366,42.2018856122,42.4214633453,41.6529412795,41.8176245794,113605464,0.0,1.0
AAPL,2018-03-06 00:00:00+00:00,176.67,178.25,176.13,177.91,23788506,42.1660848949,42.5431857843,42.0372023124,42.4620374917,95154024,0.0,1.0
