date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2017-12-07 00:00:00+00:00,82.49,82.8,82.0,82.54,20378114,77.6647166589,77.9565830932,77.2033793918,77.7117918902,20378114,0.0,1.0
2017-12-08 00:00:00+00:00,84.16,84.58,83.33,83.63,23825056,79.2370293855,79.6324613288,78.4555805453,78.7380319334,23825056,0.0,1.0
2017-12-11 00:00:00+00:00,85.23,85.37,84.12,84.29,19909119,80.2444393361,80.3762499839,79.1993692005,79.359424987,19909119,0.0,1.0
2017-12-12 00:00:00+00:00,85.58,86.05,85.08,85.31,23534946,80.5739659555,81.01647313,80.1032136421,80.3197597063,23534946,0.0,1.0
2017-12-13 00:00:00+00:00,85.35,86.0,85.17,85.74,21307911,80.3574198913,80.9693978987,80.1879490585,80.7246066958,21307911,0.0,1.0
2017-12-14 00:00:00+00:00,84.69,85.8739,84.53,85.43,19080106,79.7360268377,80.8506741653,79.5853860974,80.4327402615,19080106,0.0,1.0
2017-12-15 00:00:00+00:00,86.85,87.09,84.88,85.26,52430167,81.7696768314,81.9956379418,79.9149127168,80.2726844749,52430167,0.0,1.0
2017-12-18 00:00:00+00:00,86.38,87.4999,86.23,87.12,21551076,81.3271696569,82.3815606883,81.1859439629,82.0238830806,21551076,0.0,1.0
2017-12-19 00:00:00+00:00,85.83,86.35,85.27,86.35,23241979,80.8093421122,81.2989245181,80.2820995212,81.2989245181,23241979,0.0,1.0
2017-12-20 00:00:00+00:00,85.52,86.3,84.71,86.2,23425009,80.5174756779,81.2518492867,79.7548569302,81.1576988241,23425009,0.0,1.0
2017-12-21 00:00:00+00:00,85.5,86.1,85.4,86.05,16638402,80.4986455853,81.0635483614,80.4044951227,81.01647313,16638402,0.0,1.0
2017-12-22 00:00:00+00:00,85.51,85.63,84.92,85.4,14033977,80.5080606316,80.6210411868,79.9525729018,80.4044951227,14033977,0.0,1.0
2017-12-26 00:00:00+00:00,85.4,85.53,85.03,85.31,9737412,80.4044951227,80.5268907241,80.0561384108,80.3197597063,9737412,0.0,1.0
2017-12-27 00:00:00+00:00,85.71,85.98,85.22,85.65,13000828,80.696361557,80.9505678062,80.2350242899,80.6398712794,13000828,0.0,1.0
2017-12-28 00:00:00+00:00,85.72,85.93,85.55,85.9,9872795,80.7057766032,80.9034925748,80.5457208167,80.875247436,9872795,0.0,1.0
2017-12-29 00:00:00+00:00,85.54,86.05,85.5,85.63,18162779,80.5363057704,81.01647313,80.4986455853,80.6210411868,18162779,0.0,1.0
2018-01-02 00:00:00+00:00,85.95,86.31,85.5,86.13,21993101,80.9223226674,81.261264333,80.4986455853,81.0917935002,21993101,0.0,1.0
2018-01-03 00:00:00+00:00,86.35,86.51,85.97,86.06,24173064,81.2989245181,81.4495652583,80.9411527599,81.0258881763,24173064,0.0,1.0
